23211,58649,89292
66422,11847,96467
99875,56648,94759
80946,58676,32864
97253,83904,79373
79235,17545,45040
51153,39085,21375
88962,65410,56624
82167,98361,97380
78693,19206,95101
19899,94765,52045
38132,43801,59824
97590,31517,69555
43035,23135,38964
29006,40764,17676
67177,41547,85465
54928,32073,21191
73863,17590,99327
72661,30263,46724
17901,18974,47418
33915,77914,88864
89225,17732,76867
97768,12957,10291
40033,81952,50143
20730,60399,14459
74196,55006,20319
37318,27853,46674
97815,57119,67876
60998,73630,31589
12914,85901,18880
50654,33490,89453
26688,75552,70759
78450,83828,88204
72760,76855,72936
86933,54678,42893
64410,84726,23581
70410,63342,55725
38681,29292,87682
25127,90164,37243
70736,94949,74350
73455,73489,72394
22994,37788,34599
75120,35016,30267
84419,33119,54382
34350,92527,14673
68859,79969,12822
29397,10107,13841
68834,17271,50441
52627,15561,37491
15505,65928,84230
92034,20768,27888
13299,52782,39317
29403,30087,32116
60974,71171,12413
56645,37753,97143
91886,10333,34135
59450,59603,14663
97900,89489,63434
54315,86865,40287
57276,18752,61501
99021,21018,41008
68516,64439,18058
41311,67773,74170
76862,55522,31449
21725,13009,84529
73545,38793,77282
63285,47786,73401
72313,30951,52876
10195,19802,57170
67920,55560,82765
58029,99872,52420
49665,89866,91492
57072,50088,27110
94233,79784,79490
24193,73565,57729
10487,17939,94261
37521,76905,14886
34335,66981,70126
39660,93948,83732
69700,77037,28391
38698,46233,24687
53521,46233,79787
38444,20692,73178
91079,34174,57406
42201,83818,97683
27336,43112,63243
88699,85351,70356
31299,63080,36643
81302,42514,62251
40787,33040,76446
49469,74111,27558
29784,31635,91599
25129,93568,23125
48751,55299,89115
52469,36993,88039
50815,40537,21782
53457,10781,29817
59230,49882,70629
97324,75643,57392
59726,38162,50375
68163,68282,52783
85111,15844,36499
45638,54408,24626
59745,24318,68164
44480,82074,53906
24952,93855,89392
32569,78993,36448
75081,95372,92053
28915,41453,14691
68071,76794,86148
46641,84292,29167
67366,83811,17852
99949,68739,74123
34472,62371,25453
73542,17630,16399
36937,90328,76250
34363,62903,42082
76456,73890,70337
87076,84797,62616
26918,84742,30784
46757,84751,33696
84654,76357,10252
25971,77421,81315
11758,44055,29803
53976,89270,27946
42412,87116,62673
16702,94211,21585
53330,50140,62516
77903,59729,14851
45627,55375,22539
70709,82217,42503
33366,64879,81055
19610,89713,78080
71115,73428,51607
70341,96610,85485
96452,91750,18900
22077,47924,60327
21355,34779,16368
85451,47150,45616
31129,83271,81540
33990,38329,26373
58405,37164,65522
19920,27096,77476
50554,81540,13965
12368,95303,57418
71812,50746,70163
23894,53334,16594
36876,84491,35024
36682,40658,88089
16051,21678,88352
50536,93839,97898
84511,97630,76636
21553,21505,90869
18714,69356,93224
47662,98628,38266
83439,18472,14014
59858,81356,91681
92459,74976,93355
45183,23711,80743
81730,22035,40829
84950,95309,57570
55410,18240,17306
62265,41455,89717
15743,37113,84075
18375,94844,37483
72116,61233,31705
79627,58311,75704
69668,54243,21870
65455,20380,20971
94599,61522,68365
94301,59248,68586
21152,66536,10741
96077,30010,82065
53019,29127,76529
60284,46618,20505
39262,87715,28161
83065,56424,76491
65733,60623,42498
76392,70117,33495
32706,86139,13180
89154,26765,74977
89732,82004,58345
39042,79427,34515
85513,16461,64246
93526,19611,68071
60676,85230,40760
64559,42542,16057
11707,66805,42644
43445,90763,75420
85585,77048,37333
37191,61915,71721
36212,66983,91543
19492,79685,53060
46754,17100,62165
33058,90924,50202
88229,75883,21419
11596,21851,38472
19428,79520,74334
42598,30432,32616
19649,37854,46484
31699,79606,33058
75542,86540,32819
90596,59286,29350
66361,74753,51888
44336,45103,14347
57794,87480,27410
60330,65098,34906
37826,50979,49740
22114,59153,87508
16702,98520,64387
36287,38536,48529
21002,96971,36643
33014,28283,69747
99676,84410,92824
24277,86005,49139
68789,27897,57387
60562,87877,89456
84255,46556,88856
83312,55120,33670
17277,87230,84471
51404,76091,41406
46932,29016,50835
69555,58654,50501
41565,26086,11952
36574,19124,92355
65228,32082,42521
45914,15238,90325
55457,61476,93899
85192,20403,82518
53469,49842,84441
15263,87113,28202
85469,58369,24479
42127,26954,26090
48446,25560,58134
70259,27816,21244
43252,82232,41080
74724,32243,32364
14479,16702,27256
18466,29165,87876
32738,96023,28101
55689,80697,34764
56907,80340,36623
62584,23550,36542
21458,11033,81899
47104,91852,72755
58514,10737,28176
85111,96398,33909
66745,89662,84820
17255,26135,30754
88943,77422,33213
67837,87818,52940
72858,89407,85513
23557,49611,48533
19080,95877,68204
62197,68445,72277
11086,70800,58596
32697,14983,78190
84849,65006,55604
11661,50422,70249
